"id","messages","nonRoverDurations","roverDurations"
"1","System: JyGbkrQzxVH8RPoseEH0NW6pcPbTprHBIYkexJkcsrSQ36TSIlRm23EdRSWGQuLjKqAYNhIR","39846","1053651"
"2","System: Xe0ALoFIhn3Myf0yrnJHQ0cK1ndofuZWLC","15885","32883"
"3","System: sqDPvb","3673","18136"
"4","System: rF377d5pvV0GyNJxGcnoYSxeMeD2ePYhwP","3484","19173"
"5","System: XYIqi70SXtaOzTRg0gYsAhsd","3487","17600"
"6","System: fMMpLiIfZsenk7EiVdIahawOphxr9Ul9","3492","17739"
"7","System: bTQXR1L8PaNX92dMJTdA1l4tERY9uFLSX2jDEQ89oSIrFXvSnBqZmk3QLCYvAjXb82Pu7X","6410","17988"
"8","System: eCdLBiUyHaDpKHCVAXapCXMt3XLS8DMVdEY2iknCbXqe44fQhba8gnWB21yxHb61ubzeNyEhHIsKxA","3489","33940"
"9","System: Jz4NqsXP57dFnMV8vBnp336oth0ZZtDWi7HH9jok2uQ1222YOfzglKK4rYM77hzzxgHGQg5EQA9xHw88FU2tW7zqWzrot","3419","35961"
"10","System: e7HYuj4EGDToUpd2y1cnnXBI3qKyQaaD","3589","49112"
"11","System: AEOjdwAsBcOyrqDcDkwTmV0d6BGIWfRMCoSbEoR1D77EAzBBBmmI6n","3561","35681"
"12","System: WvdiJoRieGcrp7CQkVpm117OEX6RD6TehmKmOB6e8ZgfMdBoSog1cTaHd3KKnztulZdkK8rsCLS","3522","19791"
"13","System: oed93sSQzeVaiKr8Z","3723","19831"
"14","System: aaM8equ3FnycXLc2cmQlL3DQl3m38TwJAspteGL1QAryBHnGobGGnwdy017ygR4SRGWnHAx","4703","21872"
"15","System: mxnu4v4PL99G9ke9FX8BWgCSBG9VfMFX0to9cFIhvKbxO","3765","42002"
"16","System: pNpO3RPWjTCWQd","3743","18849"
"17","System: 1EPCyY1IhdZejjHuWi8PXsWkP04wNHM68","3762","20019"
"18","System: EA5DGqv","3845","61636"
"19","System: kqWwvFbImdctpvjY2bIRMt7VjMIBzYPpAHumvzwc1ud9wegTLdCedJpB4VICR75a7H7GQUdT3jrhJUY0SgaAuN6zvmsFTX5D","3987","20473"
"20","System: QuCGj3A1u2z7XA4UyN53yNgpcnw22MEaAsvnEML5kYn8EdMlHldjL6TprW","3934","22006"
"21","System: TjKE5jyHC","3816","20601"
"22","System: Eh8w2BjHL5RFbhO78uTsqtW8ad9HvbVla1lMyD1uBcPB","3968","28816"
"23","System: xOZjI4qMINjaE5QuGdJoyCfbm2q1S2E4FH0","4039","20618"
"24","System: n70LcRRFqqLA8VsR9IWwsu1T7UIi1Vb2lACgt1anjD3pd12fDSH6DTpuqzscNBR6VtCtFmWH4CwWkvMSmob","3921","22176"
"25","System: JY2gK84Jc0gxsVMpo9FS7","3957","54285"
"26","System: FLLzXGnElRekQk5cNWMfQJuNIeuTkCcf8njiBJRN43bru8a1OWqE4u1vVT64XX1nc","5170","22639"
"27","System: bN8ajuoMM1XOkYe25uw43yMyoAg7We2JwoIVQlI7RCtOaOLPMrFhHBnCOaC4w4HORJnziATxYRGKx","4181","21341"
"28","System: uy7XzksqRt2NnYz","4079","39068"
"29","System: kSwU8SO6fabrU4g6eyTjkfe1gC6DChy69xGq9ILQniPqPTWJPXEWup9rb1BiV4awacBsJu8LqyWCuTfu067o3qsFXNp","5154","21233"
"30","System: QcgbwwjUiSSbkFQiZtCzkJxZsVxp3jcOJH3pOOYsOJk4OkHRItkMsp0quu5AcOCtKipV7HoBMwszL","4212","35240"
"31","System: l","4179","20816"
"32","System: 8HQp2slXtGtBsXd7I65kGw08yhnfVlaGtknPUlRpRkBADReHJtG","4254","19839"
"33","System: 9mGf6tMeJB5qfI5vd6uIay4bYdB3qSfuXggUGp0bGsOIhGhg1suu8kvnsrph","4203","22087"
"34","System: tRZB18i5BmdecjtqDcGuH5amAzBAxdCYoAnnG2PRL45m0O3xLHh6U9ck8thF4qGw3jqjAd1qvdyVsjcs3NPS2xXpMuad8","5275","44006"
"35","System: tdOX5SZNzjRcrtLtxge4jZMbAHY4En1E8PRP1iWQ2m6cRXuURAcDEIlLvY3Af6yiW4Ka4JJeqNbgLug6mOnl","4232","19070"
"36","System: POpCfwBz6ZdNZPUZnphDuScrHoZcN3NujA07JT4Gm5EpeCeBWaKaAk5tmCNB26ORzCI","4222","37094"
"37","System: Dhug5H71l3BmwFzRqowbqLcyAbX6rDQ0Ivx75ivqhwckpriQuOSWELxeXPKta1ZMlzeVnNngwHKe7L1o8PkFuDevBOCWzBG","4460","19719"
"38","System: zOGIcxZpOe4Dm2QiQN8ddAr","4376","18681"
"39","System: y36q4DUlnQMFCBJ3OoG3YHlSYWfYoLdb5rAhoyRq65Bay4ehE5XIbz7UURYAZYzVjMeqsQkBirgCJJp","4531","18488"
"40","System: 0ekB","4448","19811"
"41","System: Tot7UqlBMHV13hw9i9yZVNQF9uOlxMZ18WMWaqxz6S0B4p","6293","19855"
"42","System: LUgPpXFwflKJPpKH4LyOtv3sRVw5MRBce","4499","19185"
"43","System: PpsmzqG0BvUwQPYNZMs7bFc0TEFK8a2VPfyYSTuh0xm4tVuMJfJ2DcxgwrKosdyXi1f2nkiI","4628","19164"
"44","System: 48VYqgJ1hrKueP9vHhdaJak23yIEhfs7sZCQFDIvucOzG0nBWWWE7ED","4560","20280"
"45","System: 3PBuRhrL62Ke7ia7msGnATspN7J5YdRFAmPE7dudOTLzK8rfrilotTIiVzxvcQ0P3cyLTSRRwzhX0iaadmjdX2CRaq0","4702","20247"
"46","System: F6L4yWy8X9JkD1h70OMU","4670","21144"
"47","System: 0Q3pOx4i59n8SAkt749cRTIHBOmnaKtRQp7swA6fASwOamyz3oLTeMBz3M","4683","20405"
"48","System: f7pRMrUSNs49WHzLl86rITlb8aNTHCewKRiiNh8FPws773mdcBn9cUzwQcJyrTXY5wHnxsemoSe2u","6396","19241"
"49","System: 5FMWlbV2ZhNjhyIoTtDUoibTsY","4817","19647"
"50","System: qvnXmfH1Qn6p","4859","19773"
"51","System: vZUi0LPVt3uELNdm1qbP4e2xaAdg1I0nD1WQxYwW5UXfaUn2gvCPAsNuzvPU3N6IJ5PBbxprBnLgo59NRgrYpozlZ1KLqh","4706","43347"
"52","System: lzXc3RuPUocY5qqWjA53hXHcoe5amogRSb3ZVWOSTGOw51xLmpt15hQmwG8gD9JAa94mrLS1p25mFNBAsE1pcPr0tfbzX","4920","27558"
"53","System: 6szXaaBqsGI6q3Nr6D0sUtrx7S13uH3IVGFdewjArv3UOLnNSzn2zCrxeMdUuarOo2w4dp4c5tKIb1qM8tXwirs5wjJ6i1cZ","5828","22204"
"54","System: oE9MPjJWHp","4947","21826"
"55","System: yaQ2uXB1EKpoF8RdY1zrb5nUAG","5026","22448"
"56","System: rbn4fo0rirLUKKGnQOZg1yMGBGenSK1GzSVnvWj2XX1r7rV55LOyUvvijKrPl","8384","22543"
"57","System: tFJ7kz1psWywumbwGAKgOFiRp8COgScvJFSIm13r6B","5745","22132"
"58","System: KNVYjyoVpshQ5Y8ZlGF7Mp4vPJVd7RkYIGcOnfRZI4loucZ5lRv1HFh9ksFtVFl7GBoExw","5658","22037"
"59","System: wiIh1CmgqXpk0V95Bx0tO5nbiBlKAiFMljbrrwxb9Pl6C8kQd7Fho9orAB2tJL6M2j3app1Hthk59lq51WHq","6771","22041"
"60","System: d9jSygFZDEtGWgkJ6wvT","5647","23211"
"61","System: sJ9k1584J4Ju2ufxBx2D4j6mzt7onsqqt0w5h9kI3q5Ob","5734","26038"
"62","System: J072o1txFVrAH8LwzIi4m7XPzqtgE4xFB7HydaLcU3WZx3G9lPF4zC3bEpKAGnTuteq9BhemyLcQpnB5rbF","5718","24868"
"63","System: jhmptW71pokfwVVztMF3otAkXx5VGIa6AYE2ZtCtTtezGiVYJe","7054","20651"
"64","System: ERLyxTQmX1L","5806","32390"
"65","System: LFpu2WYXKcjBKaFqXM0VRoQshnhdJ9WMuUlXrmctIeqKHs1AsyJxa8N9nnG8w7uOcY2r","5865","19212"
"66","System: ShGlnocx06m2ZGZv","5749","23511"
"67","System: C4HFAD","7042","56933"
"68","System: QQl3fHNmk8HM69vePIqRsW2QACZfTj8fa","6689","22887"
"69","System: ykC6b2E4YUSSrNem0rfIh","5819","22669"
"70","System: DtmM5ftTQqBGf8bkX2ZhZrF7IHdr1Ks0R242Yyc1qH6hxceZoNl1s8aukvUJ9trxBZrXUPEuVjrcTAL","5744","22654"
"71","System: 0h9ehC2D","5812","23074"
"72","System: 5pptmZOTHWRioCvDE9ylrvdGh9CxouZ4nyDvGJjEFhG9qR8V2hUTUo5IzpSa4","5903","20893"
"73","System: PHpP4TIVU0VMJDlVlWstCpYc3V5M43y","6929","20527"
"74","System: 5ukNEhYsUd969HNkP1VXITwN87FC8ocG0MUhVhttlEieogLmWAp0NPPlqTruvxnzJ7id2NE4VE0KOWN6iHJSjd288saM5Wu","6944","40207"
"75","System: ECzNzHAjZs4UrNqd7nHP0BHNgeo03DTc2ZiuC3652huTdPSwXxJMCB5QNA5pDkydGRcblSuBW6GBji2vuVKyvgLcqWnU9d0Ris9","6751","20684"
"76","System: jv55IUs6sslMAj4zdVhq1YrjQG9w7LYZhAYuH5xFdrF5hyDpg4kYwVdKczyskHl2","6074","33723"
"77","System: gyxmVO7wAxYDDl17cENZgiA1CcoFrsAKhWqK7pCXsobqN8J7zzdS89","5138","19026"
"78","System: RGnNrjP6bzQrxbQqolzJEMYQPhjgzKZveX89btTsZ7r7T23ySgfsTx7fACU28RVFxa6gr","5121","18336"
"79","System: WYZPQlriSLazN1ti898x7","5336","19036"
"80","System: j6fQR78Fynh3COILyeEGjf33AODlxSIbcWgQL5NZNSH","5493","19923"
"81","System: jGiKTor8JKigxNWyfsYl36cn7guVSJbMCRL4RlHKmVpLsqs6uv0omTdShSyVCbof9BkoociySSNN3o3hqPx2nyxTzRHDO","5435","19540"
"82","System: CReanThyqyytdcxuk7fa81dZtYC46kdacOtSVnZ4WyICTq55oTKh1hA9peHSKxCcEyRLNJ6FcggpYwW2RaXyd66SP","5408","19775"
"83","System: hDNhDYMWtuDJ2WQ0nw3NWS","19213","19813"
"84","System: RwuLEwHvOktKquplg1Bi9mMGMtD5p4Apbo7S8f6h6EeTMSevJV3T8wacFUAjwN1BpWLfZmAgjZmEGUhlyDqXvWfPjeP0J","4955","19738"
"85","System: ZRM","5221","20190"
"86","System: 0sT","4989","18735"
"87","System: Kzh8MwLHrUjzATU40x6yM8XreVjVxcGydm1Dn6xmyoaki6aePsb8FsUQn7Z3oR05C","5055","18060"
"88","System: SEZOkDT9","5159","17925"
"89","System: SAjketsHE37p5KnnUcbxBonnGXl1UZQVRVq0IgJwdEeL6Jxv0mYf8MqrHz4XA3fy24cfCBZ8X7w2vWoiUOwvjdFTLo8","8383","18344"
"90","System: SKKEBBSHeM","5158","26094"
"91","System: P94PgVqUuBAULyWh8eUG7NWLp9KnaeGHMRSc6NzxFaO44sgjfbOFnIbyB","5979","19534"
"92","System: 9qGuih8rHcJsP2ipaxl6aUdPgRAVmLO6yD9e13h3jmv1jU9yEQ2Y6LcEkt23VZLZlr57Plb7CLjm","5936","18065"
"93","System: ddqIhsTVcJO4Fc128Q9Cx58wWFYTZEiBil3c9e8rYiNSTzPuAR9nmMH9c0hDpgKVXTHCpEyx","6014","33799"
"94","System: dnEx70DLFQEhO9dFh2Yw5albfsJIWdPvfAMvPlMrqsgGB2u3fxEXIzCoRecjzAgyTlSFOyWZoQKETvQup","7178","20358"
"95","System: czQGXbKw5F0A8WP5G020WbHZKim1s4jjJ2HDpXx5frpHfgTWQvF2OnRW9JwD","6088","18739"
"96","System: ygntt8NCYYvBBOSiIgYysCCQxMjtU8EcyE4lSQhzUBwh8AWxYgNGFWRljZy8fPsjmP1QfpFICe629En8mkl","5242","39135"
"97","System: zJWiFg3DlxtFzLU82LiqBGf2TmY","5445","34400"
"98","System: QERrCP3McvxWNYgeQjNMVfxpZAat4x8I3AmZt5","5268","19687"
"99","System: 6ysJwQv053gLy5YdktOmzPcJwRR4HJ4NQHkuNRPMiJUhPEUUntm588xalw5t6iJoIF86VFBBWmMSHtVuAEV","6214","18603"
"100","System: 8Hkujo53ePSmXGOGgV7zMsaXv5ABGWQsdWavlZV6JalLwr1LkJ1Lxgc3bGS2ZmrihEgy6pxjBtHnwKFFB0aZI","7160","18880"
